image,sku,name,price,description,colors,available sizes
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/d/kdp20108_5.jpg,KDP20108____KDP20108_pk, printed kurta paired with dupatta,"PKR 3,399",kurta dupatta,ORANGE,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/d/kdpe20107_1.jpg,KDPE20107____KDPE20107_pk, embroidered kurta with dupatta,"PKR 4,400",kurta dupatta,BLUE,"10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpech19548_blue_4.jpg,KPECH19548____KPECH19548_pk, embroidered kurta with pants,"PKR 4,400",kurta pajama,BLUE,"10,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpech19549_grey_1.jpg,KPECH19549____KPECH19549_pk, embroidered kurta with pants,"PKR 5,000",kurta pajama,GREY,6
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpe195190__blue_4_.jpg,KPE195190____KPE195190_pk, embroidered kurta with pants,"PKR 5,000",top and bottom,BLUE,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpe195191_red__3_.jpg,KPE195191____KPE195191_pk, embroidered kurta with pants,"PKR 4,400",top and bottom,RED,"10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpe195192_beige__4_.jpg,KPE195192____KPE195192_pk, embroidered kurta with pants,"PKR 4,400",top and bottom,BEIGE,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpe195193_white__4_.jpg,KPE195193____KPE195193_pk, embroidered kurta with pants,"PKR 5,000",top and bottom,WHITE,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/k/ckpp20106_4.jpg,CKPP20106____CKPP20106_pk, printed kurta with pants,"PKR 4,801",kurta pajama,BLACK,"8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/k/ckpp20111_offwhite__1_4_.jpg,CKPP20111____CKPP20111_pk, printed kurta with pants,"PKR 4,801",kurta pajama,OFF-WHITE,8
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb19105_blue__1_.jpg,ETB19105____ETB19105_pk,basic broshia kurta,"PKR 2,280",women top,BLUE,"16,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb195116_1.jpg,ETB195116____ETB195116_pk,basic jacquard kurta,"PKR 3,800",womens top,BEIGE,6
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb195117_1.jpg,ETB195117____ETB195117_pk,basic jacquard kurta,"PKR 3,800",womens top,BLUE,"6,10"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb195118_4.jpg,ETB195118____ETB195118_pk,basic jacquard kurta,"PKR 3,800",womens top,OFF-WHITE,"8,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb20101_green_3.jpg,ETB20101____ETB20101_pk,basic brosha kurta,"PKR 3,200",womens top,GREEN,"6,10,12,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb195119_4.jpg,ETB195119____ETB195119_pk,basic jacquard kurta,"PKR 3,800",woman top,BLUE,"8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/w/t/wtp19201_grey_5__3.jpg,WTP19201SL____WTP19201SL_pk, printed kurta,"PKR 1,425",women top,GREY,12
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/w/t/wtp19309_green__1_.jpg,WTP19309ASL____WTP19309ASL_pk, printed kurta,"PKR 1,596",women top,GREEN,12
